ncaps,nhidden,time,accuracy_mean,accuracy_std
4,8,53.79509162902832,0.6836667060852051,0.010274013540209443
4,16,49.94565296173096,0.7033333579699198,0.010208936593030498
4,32,58.649444818496704,0.7053333719571432,0.007039576022618765
8,8,52.65583658218384,0.7016666928927103,0.0026246809186043817
8,16,68.06486320495605,0.7146667043368021,0.009568472277815964
8,32,56.58635950088501,0.7000000476837158,0.01392838440863919
16,8,52.209205627441406,0.7003333568572998,0.014636327539164457
16,16,73.13223147392273,0.699666698773702,0.006649994084854259
16,32,92.53395676612854,0.7146667043368021,0.008653821669636783
32,8,67.38361048698425,0.7156666914621989,0.0012472030714731697
32,16,112.43082976341248,0.7053333520889282,0.012364821866913588
32,32,169.08138847351074,0.7053333719571432,0.010656253142257105
