nepoch,nlayer,lr,reg,dropout,verbose,time,accuracy_mean,accuracy_std,,,,,,,,,
200,2,0.000949519,0.082790562,0.3,FALSE,178.3795629,0.67050004,0.00150001,,,,,,,,,
200,2,0.000446944,0.045447751,0.5,FALSE,177.9652565,0.653000027,0.002999991,,,,,,,,,
300,4,0.001849775,0.020194918,0.2,FALSE,531.0725574,0.650500029,0.001499981,,,,,,,,,
200,5,0.000697635,0.074812625,0.3,FALSE,432.9284809,0.649000019,0.002999991,,,,,,,,,
300,4,0.001516001,0.133052618,0.1,FALSE,532.5460222,0.647500008,0.0185,,,,,,,,,
200,5,0.000777771,0.019715995,0.4,FALSE,436.1548014,0.640000045,0.009000003,,,,,,,,,
300,4,0.006594858,0.007778544,0.4,FALSE,532.9704082,0.634500027,0.024500012,,,,,,,,,
300,5,0.002932578,0.087314612,0.1,FALSE,663.0837805,0.627500027,0.012500018,,,,,,,,,
200,4,0.000577302,0.002508957,0.5,FALSE,365.2994082,0.622500032,0.010499984,,,,,,,,,
300,1,0.002250904,0.001086162,0.3,FALSE,141.6601567,0.618500024,0.026500016,,,,,,,,,
300,5,0.001292946,0.002812884,0.5,FALSE,663.7010963,0.610000044,0.020999998,,,,,,,,,
200,3,0.000258158,0.015203628,0.5,FALSE,262.7287145,0.6065,0.0185,,,,,,,,,
200,5,0.000595421,0.002217752,0.4,FALSE,433.2336197,0.602000028,0.011999995,,,,,,,,,
200,4,0.000345045,0.004402031,0.2,FALSE,349.5073667,0.598500043,0.003500015,,,,,,,,,
200,2,0.000101978,0.040047401,0.2,FALSE,180.0215678,0.560000032,0.002000004,,,,,,,,,
300,4,0.000350207,0.009981688,0.5,FALSE,1254.720671,0.555500001,0.019499987,,,,,,,,,
200,5,0.000119719,0.071945365,0.1,FALSE,434.3247759,0.554500014,0.00850001,,,,,,,,,
200,5,0.000497004,0.002310882,0.5,FALSE,433.8608618,0.547000021,0.015000015,,,,,,,,,
300,1,0.000680462,0.001520099,0.5,FALSE,141.4505363,0.543000042,0.004000008,,,,,,,,,
200,5,0.000119202,0.003180185,0.1,FALSE,433.5326428,0.536500037,0.002499998,,,,,,,,,
200,4,9.17E-05,0.006335026,0.1,FALSE,348.9368384,0.536500007,0.004500002,,,,,,,,,
200,5,0.000145837,0.017789674,0.1,FALSE,434.1052439,0.534500033,0.010499984,,,,,,,,,
200,3,0.000126983,0.070362898,0.1,FALSE,264.1692109,0.533500016,0.015500009,,,,,,,,,
300,3,8.81E-05,0.038135629,0.2,FALSE,403.6029837,0.53200002,0.050999984,,,,,,,,,
200,3,0.000101201,0.001253607,0.3,FALSE,262.7822828,0.52850005,0.009499997,300,4,2.40E-05,0.067675888,0.4,FALSE,1488.524866,0.191,0.004999995
200,4,0.000292066,0.003470096,0.2,FALSE,350.3941886,0.528500021,0.007499993,,,,,,,,,
200,2,7.82E-05,0.012852308,0.4,FALSE,177.7364604,0.528500021,0.020500004,,,,,,,,,
200,2,7.33E-05,0.025006382,0.1,FALSE,178.1010237,0.518000022,0.021000013,,,,,,,,,
300,2,9.65E-05,0.007092958,0.3,FALSE,273.7696455,0.510500029,0.042500004,,,,,,,,,
200,3,5.66E-05,0.005469227,0.1,FALSE,262.8234682,0.45950003,0.033500001,,,,,,,,,
300,3,7.54E-05,0.001060678,0.3,FALSE,1105.57697,0.441,0.029999986,,,,,,,,,
200,2,6.67E-05,0.001597807,0.5,FALSE,180.4142418,0.437500015,0.010499999,,,,,,,,,
300,1,9.95E-05,0.043224897,0.2,FALSE,141.1990352,0.414500013,0.017499998,,,,,,,,,
300,3,7.17E-05,0.037127028,0.3,FALSE,1179.353801,0.400999993,0.020999998,,,,,,,,,
200,3,7.56E-05,0.057494331,0.4,FALSE,263.2787993,0.393500015,0.01349999,,,,,,,,,
300,5,0.000839144,0.07954174,0.5,FALSE,1545.669426,0.390499994,0.080499992,,,,,,,,,
200,4,3.08E-05,0.021846495,0.2,FALSE,348.5641212,0.337500021,0.059499994,,,,,,,,,
