lr,reg,dropout,init_k,ndim,nlayer,time,accuracy_mean,accuracy_std
0.051510368,0.001656024,0.05,8,256,4,140.3372405,0.804666678,0.005436516
0.001509983,0.068315298,0.15,16,256,2,188.3682253,0.795999984,0.005354131
0.111874532,1.15E-05,0.3,16,256,2,104.9270623,0.793000003,0.011860293
0.019471604,1.66E-08,0.25,16,256,3,96.81519079,0.789666673,0.002624663
0.004732376,0.049125653,0.3,8,128,2,112.4605854,0.789000014,0.003741662
0.034819665,0.01013657,0.3,4,128,2,50.35323882,0.788999995,0.006976134
0.001514828,0.007809434,0.2,4,256,1,80.45926309,0.787,0.004320484
0.004156499,0.000233591,0.2,8,128,2,91.36799121,0.782666663,0.005249354
0.295795027,0.000158602,0.2,4,256,2,73.13780403,0.779333333,0.011085532
0.001928938,7.84E-05,0.4,16,256,2,187.6484475,0.778333326,0.010530372
0.054137826,1.13E-07,0.25,8,128,1,21.40284038,0.777666668,0.004189929
0.002707547,1.09E-06,0.1,16,128,2,102.4845476,0.777666668,0.009741096
0.009429805,1.35E-08,0.15,4,256,5,231.1092708,0.777333339,0.015839481
0.033443875,7.02E-07,0.3,16,256,4,188.2343876,0.773333331,0.002867453
0.09599555,1.29E-06,0.05,8,128,5,127.157269,0.771666666,0.007408709
0.050396349,0.021078514,0.4,4,256,1,47.70735812,0.771666666,0.012391743
0.232929145,0.001340516,0.1,8,128,2,51.01803565,0.770666659,0.00368179
0.013009767,0.000557157,0.3,4,256,5,308.6163421,0.77033333,0.007408682
0.021645275,7.48E-08,0.05,4,64,2,30.48921371,0.768999994,0.014236089
0.01521769,2.56E-07,0.2,32,256,3,193.1115146,0.767666658,0.004784245
0.000836845,5.70E-06,0.35,4,256,2,233.9124098,0.765000006,0.006480758
0.011313595,1.66E-07,0.25,4,256,5,303.8811524,0.764333328,0.006847542
0.017488977,3.15E-08,0.1,4,128,5,147.9839313,0.764000018,0.005715475
0.921216981,2.48E-08,0.1,8,64,2,45.81599402,0.759333332,0.006599663
0.001213226,7.63E-05,0.15,4,128,4,211.1741223,0.758333345,0.00821921
0.004165474,0.552039999,0.1,32,256,2,208.4449973,0.757333338,0.009672428
0.019784162,4.60E-07,0.35,4,256,1,34.93349028,0.756333331,0.002054804
0.003031402,8.82E-07,0.05,4,64,2,52.38827133,0.75333333,0.003091194
0.059013123,2.99E-06,0.1,4,64,4,54.07805991,0.748000006,0.013928392
0.046252798,1.05E-07,0.15,4,128,1,22.95385718,0.746999999,0.002828447
0.032344639,6.70E-05,0.25,4,128,1,25.30230236,0.745999992,0.009273628
0.001666341,2.63E-07,0.5,4,256,2,212.9095383,0.745666683,0.008339991
0.005075561,0.001889453,0.1,4,64,4,115.1592729,0.745666663,0.035367885
0.045268204,4.54E-05,0.05,8,64,5,87.84375525,0.745333334,0.007039576
0.086136355,0.003729656,0.25,8,64,2,27.47289371,0.742666682,0.0122565
0.604282711,7.94E-08,0.05,8,64,3,78.57270479,0.740666668,0.007318156
0.329416265,0.000107388,0.2,4,128,5,185.5621562,0.740666648,0.018926756
0.000817552,0.000250887,0.1,4,128,1,77.92326117,0.736000001,0.01551343
0.070241331,6.70E-06,0.4,4,128,1,18.32525682,0.735333323,0.006798679
0.004975848,0.000269286,0.15,4,64,4,149.5776269,0.733333349,0.012364822
0.075017755,9.73E-05,0.35,32,256,2,112.5917623,0.729333341,0.026386008
0.152552985,4.14E-05,0.2,16,128,4,218.8656375,0.728333334,0.008956683
0.150985533,1.28E-06,0.5,16,256,1,70.36012578,0.728333334,0.00555778
0.003230002,5.09E-07,0.2,8,64,2,76.48353314,0.728000005,0.012569792
0.013328653,2.33E-07,0.35,4,64,1,22.7029562,0.722333332,0.004189929
0.563348256,0.000163795,0.2,8,128,1,25.00594926,0.722000023,0.005887839
0.371876056,1.15E-06,0.25,16,128,3,224.6618285,0.721999983,0.00989948
