lr,reg,dropout,init_k,ndim,nlayer,time,accuracy_mean,accuracy_std
0.0003091030520759314,0.00030863122950746465,0.25,4,256,4,100.67620372772217,0.32966668407122296,0.011145506795219293
0.5882373392690197,0.016284551695297595,0.2,8,128,1,15.769031047821045,0.41466668248176575,0.0065489610268729325
0.16124247052204818,0.00024877733117466147,0.2,16,256,5,85.5863869190216,0.4010000129540761,0.008485270472253757
0.09829245008105086,0.015003033403159925,0.25,8,64,1,18.578577041625977,0.4303333560625712,0.01724979738678602
0.005625142445898157,0.0026156067766848158,0.2,16,64,2,15.799472093582153,0.40000001589457196,0.011045365413415515
0.005375542293854861,0.054332250871632334,0.05,4,256,4,90.04737901687622,0.4266666869322459,0.01993880159972105
0.0027699344489239054,0.01594547444846121,0.25,4,256,4,57.82056713104248,0.36266668637593585,0.03458644191758197
0.00018279722640310262,9.282693735049034e-05,0.35000000000000003,16,256,2,98.19444179534912,0.3383333484331767,0.012036981342113232
0.0017570015706672739,0.23368060944524094,0.05,16,256,6,65.35173320770264,0.42100001374880475,0.011313703328971343
0.0013181129732468644,8.79428935178176e-05,0.35000000000000003,32,256,2,32.00205087661743,0.3370000223318736,0.0118603035249639
0.004733094774565264,4.6232062647214504e-05,0.05,32,256,5,164.91143345832825,0.4470000167687734,0.018832597096437018
0.04738978870849457,0.004215128185265685,0.1,16,128,2,55.92799377441406,0.4520000219345093,0.007348471953700899
0.0042917230334621435,0.31579819157961386,0.45,16,128,2,18.129080533981323,0.36266668637593585,0.028639519369925166
0.02626054349454988,0.09348936408795826,0.30000000000000004,4,128,2,18.90024161338806,0.41233335932095844,0.00987702317041549
0.003180330448844997,0.31201112997755864,0.05,4,256,5,93.29576086997986,0.4113333423932393,0.006599662616724867
0.013705188906958448,0.0017835544163059042,0.15000000000000002,16,64,3,35.63491249084473,0.4100000162919362,0.011045365413415515
0.12001933105537382,0.07581197805459933,0.35000000000000003,8,256,5,63.26817321777344,0.4070000151793162,0.0073484597869570905
0.8831809070814046,1.2519673524436882e-05,0.45,32,256,5,87.72030591964722,0.4126666784286499,0.004496915743412376
0.0904263366498684,0.0006919313563918268,0.30000000000000004,16,64,5,59.11720657348633,0.40166668097178143,0.004496903225205846
0.7787508528395898,0.0014895187092324722,0.35000000000000003,4,256,6,75.5915277004242,0.4140000243981679,0.007483316663910647
0.0005800848316007387,0.22851845045827898,0.5,16,64,3,25.582331895828247,0.34000001351038617,0.024097032467709792
0.005837642536438086,3.3013554404955033e-05,0.25,16,256,4,46.756091594696045,0.41366668542226154,0.009741092142068976
0.23006290915235778,0.0036774802461014126,0.35000000000000003,4,64,2,17.809218406677246,0.4176666835943858,0.010274026432411203
0.00016587780194111997,0.00017015921439045113,0.15000000000000002,8,128,6,205.89197635650635,0.3293333351612091,0.01835453322900071
0.25585755153459416,0.4460691536561949,0.2,16,256,4,60.51046442985535,0.4080000122388204,0.0014142234528335457
0.0023976199181405195,0.022135965567563122,0.30000000000000004,32,256,4,40.441545486450195,0.3803333540757497,0.00771723080133187
